Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47u/50v","CP_Radial_D6.3mm_P2.50mm",31.397380,-30.562000,180.000000,top
"J1","Input","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",48.139000,-11.405000,-90.000000,top
"J2","Output","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",48.139000,-25.121000,-90.000000,top
"R1","100(2W)","R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical",3.000000,-9.480000,0.000000,top
"R2","100(1W)","R_Axial_DIN0414_L11.9mm_D4.5mm_P7.62mm_Vertical",3.000000,-29.800000,0.000000,top
"RV1","10K(B)","ALPS_RK09D11XX",35.676000,-19.640000,90.000000,top
"TR1","Sansui ST-71/ST-71P","[秋月]SANSUI_ST-71_ST-71P",15.610000,-19.673000,0.000000,top
