Ref,Val,Package,PosX,PosY,Rot,Side
"J3","A-B_conn","PinSocket_2x10_P2.54mm_Horizontal",173.250000,-78.950000,0.000000,bottom
"J1","JST_NH_BS13P","JST_NH_BS13P-SHF-1AA_P2.5_SideAngle",186.250000,-28.250000,0.000000,top
