Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x28","DIP-28_W15.24mm",1.778000,0.889000,90.000000,top
"U1","AT29C010A-TSOP","TSOP-I-32_18.4x8mm_P0.5mm",18.780500,8.479000,0.000000,top
