"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"R2,R1,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10k";;;
2;"J1";"DIP-32_W15.24mm_Socket";1;"Conn_01x32";;;
3;"U2";"DIP_Socket-28_W11.9mm_W12.7mm_W15.24mm_W17.78mm_W18.5mm_3M_228-1277-00-0602J";1;"ZIF SOCKET";;;
