"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"J1";"DIP-28_W15.24mm";1;"Conn_01x28";;;
2;"U1";"TSOP-I-32_18.4x8mm_P0.5mm";1;"AT29C010A-TSOP";;;
