"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"J1";"DIP-32_W15.24mm_Socket";1;"1Mbit_JEDEC";;;
2;"J2";"DIP_Socket-32_W11.9mm_W12.7mm_W15.24mm_W17.78mm_W18.5mm_3M_232-1285-00-0602J";1;"1Mbit_MASK";;;
